Respondent ID,Collector ID,Which country perspective will you share in this survey?,State/Province,"Please confirm your region, based on the Council’s regional classification.",Which sector do you represent?,What is your primary energy focus?,What is the stage of your organisation?,What is your current role within the organization?,What is your gender?,What is your age group?,Are you a part of the Council’s Global or National Future Energy Leaders programme?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,Company
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Hybrid or Transition Technologies (CCUS, bioenergy, hydrogen etc.)",Established Organisation (more than 10 years existence),Senior-Level,Male,65+,,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Medium,Very Low,Very Low,
1.15023E+11,437952640,Panama,,Latin America and the Caribbean,"Consumer / End-User Sector (commercial, industrial, residential, etc.)",,Established Organisation (more than 10 years existence),Top-Level,Male,50-65,,Medium,High,Very High,Very High,Medium,Low,Very High,Very High,Very High,Very High,Very High,Very High,Very High,High,High,High,High,High,High,High,Medium,Medium,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,High,High,Medium,Medium,Very Low,Very Low,Low,Low,Medium,Medium,High,High,High,High,Low,Low,Very High,Very High,AGRANDEL 
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Fossil Fuels (oil, gas, coal)",Established Organisation (more than 10 years existence),Senior-Level,Male,35-50,,Very High,High,Very High,Medium,High,Medium,Very High,High,High,Medium,Low,Very High,High,Medium,High,Medium,High,High,Medium,Very High,Very High,Medium,High,High,Medium,Medium,High,Medium,High,Low,Medium,Medium,Very Low,High,High,Medium,Very High,Medium,Very High,Very Low,Very High,High,Very High,Medium,Very High,Medium,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Fossil Fuels (oil, gas, coal)",Established Organisation (more than 10 years existence),Mid-Level,Female,<35,Yes,High,High,Medium,Medium,High,High,High,High,Very High,Very High,Very High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Very High,High,High,High,High,High,High,High,High,High,High,High,High,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,Government / Public Sector,,,Mid-Level,Female,<35,No,Very High,Medium,High,Very Low,Medium,High,High,Medium,Medium,Medium,High,Low,High,Very Low,High,High,Low,Low,Medium,Medium,Medium,High,High,High,Medium,Medium,Medium,High,High,Medium,DK,DK,High,High,Very High,High,DK,DK,High,Very High,Medium,Very High,Medium,High,Very High,Very Low,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Hybrid or Transition Technologies (CCUS, bioenergy, hydrogen etc.)",Established Organisation (more than 10 years existence),Senior-Level,Male,35-50,,Very High,Very High,High,Very High,Medium,High,Low,High,Low,Very High,Low,Low,Medium,Medium,High,Very High,Very Low,Medium,Medium,Medium,High,High,Medium,High,Very High,High,High,Medium,High,Medium,High,High,Low,Very High,Low,Medium,Very High,Low,Medium,High,Very High,Very High,Low,Low,Very High,High,Masdar green hydrogen 
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Fossil Fuels (oil, gas, coal)",Established Organisation (more than 10 years existence),Mid-Level,Male,<35,No,High,Medium,Very High,Very High,Very High,Very High,High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Very High,Medium,High,High,High,High,High,High,Very High,High,Very High,High,Very High,High,Very High,High,DK,DK,ADNOC
1.15023E+11,437952640,Panama,,Latin America and the Caribbean,"Energy-Adjacent / Related Sector (technology, finance, transport, etc.)","Other Energy-Related Services (utilities, grid management, storage solutions, energy efficiency etc.)",Established Organisation (more than 10 years existence),Top-Level,Male,35-50,,High,Medium,High,High,High,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,High,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Very High,Medium,Medium,Medium,Medium,Medium,High,Medium,BYD 
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Institutions (universities, think tanks, research, associations, NGOs etc.)",,,Senior-Level,Female,35-50,,High,High,High,High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Medium,Medium,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,جامعة الشارقة 
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Fossil Fuels (oil, gas, coal)",Established Organisation (more than 10 years existence),Senior-Level,Male,<35,Yes,Medium,Medium,High,High,Medium,Medium,High,High,Medium,High,Medium,Low,Medium,Low,Medium,Medium,Low,Low,Medium,Low,Medium,Low,High,Medium,Medium,Medium,High,High,Low,Medium,High,Medium,Low,Medium,High,Medium,Very High,Very High,High,Medium,High,Medium,Medium,High,High,High,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Fossil Fuels (oil, gas, coal)",Established Organisation (more than 10 years existence),Mid-Level,Prefer not to say,35-50,,Very High,Medium,Very High,Medium,Low,Medium,Low,Low,Very High,High,DK,DK,DK,DK,DK,DK,DK,DK,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Not Applicable,Not Applicable,Very High,Medium,Very High,Medium,Very High,Very Low,Medium,Low,Medium,Low,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Fossil Fuels (oil, gas, coal)",Established Organisation (more than 10 years existence),Mid-Level,Male,<35,No,Very High,High,Very High,DK,Medium,DK,Medium,Medium,Medium,DK,Medium,Medium,High,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,High,High,High,Low,Medium,Medium,High,Very High,Medium,Low,Very Low,Medium,Medium,Low,High,Medium,Not Applicable,Medium,Medium,Medium,Low,High,Low,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Other Energy-Related Services (utilities, grid management, storage solutions, energy efficiency etc.)",Established Organisation (more than 10 years existence),Mid-Level,Male,35-50,,High,Low,High,Low,Medium,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,Government / Public Sector,,,Top-Level,Female,35-50,,Very High,High,High,High,High,High,Medium,Very Low,Medium,Very Low,High,Very Low,Medium,Medium,Medium,Medium,Low,Low,Medium,High,Medium,Medium,High,Low,Medium,Low,Medium,Low,High,Medium,Medium,Medium,Medium,Medium,Very High,Very High,High,Low,High,Medium,High,Low,DK,DK,Very High,Very High,
1.15023E+11,437952640,Lebanon,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Non-Fossil Fuels (solar, wind, hydro, geothermal, nuclear)",Established Organisation (more than 10 years existence),Mid-Level,Male,<35,No,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,Medium,Very Low,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Other Energy-Related Services (utilities, grid management, storage solutions, energy efficiency etc.)",Other,Senior-Level,Male,35-50,,High,High,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,Medium,Medium,High,High,Medium,Medium,High,Very High,Medium,High,High,Medium,High,Medium,High,Medium,Very High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High,Medium,Medium,High,High,High,High,High,Medium,High,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,Government / Public Sector,,,Senior-Level,Male,<35,No,Low,Medium,Medium,Medium,Low,Medium,Very High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,High,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Very High,High,Very High,Very High,High,Medium,Medium,Medium,Very High,High,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,Government / Public Sector,,,Senior-Level,Female,35-50,,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Medium,Very High,Medium,Very High,Medium,Very High,Medium,Very High,Low,Very High,Low,Very High,Low,Very High,Low,Very High,Very High,Very High,Low,Very High,Low,Very High,Low,Very High,Low,Very High,Low,Very High,Low,Very High,Low,Very High,Low,Very High,High,Very High,High,Very High,Low,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Non-Fossil Fuels (solar, wind, hydro, geothermal, nuclear)",Other,Top-Level,Male,50-65,,Very High,High,Very High,Medium,High,Medium,High,Medium,Very High,High,High,Medium,High,Medium,Very High,High,Medium,Medium,Medium,Medium,High,High,High,Medium,High,Medium,Low,Low,High,High,High,Medium,Low,Low,High,High,High,Medium,High,Medium,High,High,Not Applicable,Not Applicable,Very High,Medium,MoEI 
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,Government / Public Sector,,,Mid-Level,Female,<35,No,High,Medium,High,Low,Medium,Medium,Very High,Medium,Very High,DK,High,DK,Very High,DK,Very High,DK,High,DK,Medium,DK,High,DK,High,DK,High,DK,High,DK,Very High,DK,Medium,DK,Medium,DK,Medium,DK,High,DK,High,DK,High,Medium,Medium,Medium,High,DK,
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Fossil Fuels (oil, gas, coal)",Established Organisation (more than 10 years existence),Senior-Level,Male,50-65,,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,Very High,Very Low,ENOC
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,Government / Public Sector,,,Mid-Level,Female,35-50,,High,High,Medium,Medium,High,High,Low,Medium,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,High,Medium,Very High,Medium,High,High,Very High,High,High,High,Very High,Medium,Very High,Low,High,Low,Very High,High,Very High,Medium,High,High,Very High,High,Very High,High,Very High,Medium,Ministry of energy and infrastructure
1.15023E+11,437952640,United Arab Emirates,,Middle East and Gulf States,Government / Public Sector,,,Senior-Level,Male,50-65,,Medium,Medium,High,Low,Medium,Low,High,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Low,
1.15017E+11,437952640,United Arab Emirates,,Middle East and Gulf States,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Non-Fossil Fuels (solar, wind, hydro, geothermal, nuclear)",Established Organisation (more than 10 years existence),Senior-Level,Male,35-50,,High,High,High,High,High,High,High,High,High,Very High,High,High,Medium,Very Low,Medium,Not Applicable,High,Not Applicable,High,Medium,Low,Very High,Medium,Medium,Medium,Very High,Not Applicable,Not Applicable,High,Very High,Medium,High,Very High,Very High,Low,High,Very High,High,Very High,Very High,Medium,Medium,Low,Medium,Very High,High,
1.15023E+11,437952640,Estonia,,Europe,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Fossil Fuels (oil, gas, coal)",Established Organisation (more than 10 years existence),Mid-Level,Female,35-50,,Medium,Very High,High,Very High,Medium,Medium,Very High,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Medium,High,High,Low,Medium,Medium,High,Very High,High,Very High,High,High,High,Medium,Very High,High,High,High,High,Medium,High,Medium,Medium,High,High,
1.15023E+11,437952640,Panama,,Latin America and the Caribbean,"Energy Institutions (universities, think tanks, research, associations, NGOs etc.)",,,Board or Advisory Role,Male,65+,,Very High,Very High,High,Medium,Very High,Very High,Medium,Medium,Medium,Medium,Very High,Very High,High,Medium,Medium,High,High,High,High,High,Very High,High,Very High,Very High,High,Medium,High,High,Very High,Medium,Very High,High,Medium,High,High,Very High,Medium,Medium,Low,Medium,High,Very High,High,Very High,Very High,High,VCU Ingenieros
1.15022E+11,437952640,Panama,,Latin America and the Caribbean,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Non-Fossil Fuels (solar, wind, hydro, geothermal, nuclear)",Established Organisation (more than 10 years existence),Senior-Level,Female,35-50,,High,High,Medium,Medium,High,High,High,High,Very High,High,Very High,High,High,High,Medium,Medium,High,Low,Low,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Very Low,Low,Low,Medium,Very High,Very High,Medium,High,Medium,High,Low,Very High,High,GIZ Agencia Alemana de cooperación 
1.15022E+11,437952640,Brazil,São Paulo,Latin America and the Caribbean,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Other Energy-Related Services (utilities, grid management, storage solutions, energy efficiency etc.)",Established Organisation (more than 10 years existence),Top-Level,Male,50-65,,Medium,High,Medium,High,Medium,Medium,Very High,Very High,Very High,Very High,Very High,Very High,High,High,High,Very High,Medium,Low,Medium,Low,Medium,Low,High,Medium,High,Medium,High,Medium,High,Medium,Very High,Medium,Very High,Medium,Very High,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Very High,Medium,Mantest Electrical Engineering
1.15022E+11,437952640,Belgium,,Europe,"Energy Institutions (universities, think tanks, research, associations, NGOs etc.)",,,Mid-Level,Female,50-65,,High,Very High,Very High,Very High,Medium,Very High,Medium,High,Very High,Medium,Medium,Medium,Very High,High,Medium,Medium,Medium,Medium,Very High,High,DK,DK,DK,DK,DK,DK,DK,DK,Very High,Medium,High,High,Medium,Medium,Very High,Very High,High,Very High,Very High,Medium,Medium,Medium,Low,High,Very High,Very High,
1.15017E+11,438142549,Switzerland,,Europe,Other (please specify),,,Senior-Level,Female,35-50,,Medium,Medium,Medium,Medium,Medium,Medium,DK,DK,DK,DK,DK,DK,DK,DK,DK,DK,High,Medium,Medium,Medium,Low,Low,Medium,Low,Medium,Medium,High,Medium,Very High,Medium,Very High,Medium,High,Medium,DK,DK,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Very High,Medium,
1.15022E+11,437952640,Panama,,Latin America and the Caribbean,Government / Public Sector,,,Mid-Level,Male,35-50,,Very High,Very High,High,High,High,Medium,High,Medium,High,Medium,Medium,Low,Medium,Medium,High,Very High,Medium,Medium,Medium,Low,High,Low,Very High,Very High,High,Medium,High,Very High,Very High,Medium,Very High,High,High,High,High,Very High,High,Very High,Very High,Medium,Very High,Very High,Low,Very High,Very High,Low,Ministry of Environment 
1.15022E+11,437936611,Chile,,Latin America and the Caribbean,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Non-Fossil Fuels (solar, wind, hydro, geothermal, nuclear)",Established Organisation (more than 10 years existence),Senior-Level,Male,50-65,,Very High,High,Very High,High,Very High,High,Very High,High,Very High,High,Very High,High,Very High,High,Very High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,High,High,Medium,Very High,High,Very High,High,Very High,High,Very High,High,High,Medium,High,Medium,Low,Low,Low,Low,Very High,High,EnfraGen 
1.15022E+11,437936611,Chile,,Latin America and the Caribbean,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Non-Fossil Fuels (solar, wind, hydro, geothermal, nuclear)",Established Organisation (more than 10 years existence),Senior-Level,Male,35-50,,Very Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,High,High,High,High,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Enfragen Chile
1.15022E+11,438444370,Malaysia,,Asia,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Non-Fossil Fuels (solar, wind, hydro, geothermal, nuclear)",Start-up or Scale-up,Senior-Level,Male,50-65,,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,Medium,Low,Very Low,Very Low,Medium,Low,Low,Medium,Low,Low,Low,Medium,Medium,Low,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Very Low,Low,Medium,High,Medium,Medium,SD Guthrie Renewable Energy
1.15022E+11,437952640,Switzerland,,Europe,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Other Energy-Related Services (utilities, grid management, storage solutions, energy efficiency etc.)",Established Organisation (more than 10 years existence),Top-Level,Male,50-65,,High,High,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Low,Very Low,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,High,Very High,High,Medium,Medium,Low,High,High,Very High,Very High,Medium,Medium,High,High,High,High,Very High,High,Medium,High,Medium,High,High,High,
1.15022E+11,437952640,India,Delhi,Asia,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Non-Fossil Fuels (solar, wind, hydro, geothermal, nuclear)",Established Organisation (more than 10 years existence),Senior-Level,Male,35-50,,High,High,Medium,Medium,High,High,Medium,High,High,Medium,High,Medium,Very High,High,Very High,Medium,Low,Low,Medium,Medium,High,High,High,Very High,High,High,High,High,Very High,High,High,High,High,High,High,High,High,High,Very High,High,High,High,High,High,High,High,PTC India Limited
1.15022E+11,438080535,Spain,,Europe,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Other Energy-Related Services (utilities, grid management, storage solutions, energy efficiency etc.)",Start-up or Scale-up,Senior-Level,Male,35-50,,High,Very High,High,Very High,Medium,Medium,High,Medium,High,High,Medium,Medium,Very High,High,High,High,Low,Low,Medium,Low,Low,Low,Very High,High,High,Medium,High,High,High,High,High,Very High,High,Medium,Very High,Medium,High,High,Very High,High,High,High,Very High,High,Very High,High,China Three Gorges Europe
1.15022E+11,438004238,Australia,NSW,Asia,"Energy-Adjacent / Related Sector (technology, finance, transport, etc.)","Other Energy-Related Services (utilities, grid management, storage solutions, energy efficiency etc.)",Start-up or Scale-up,Senior-Level,Female,<35,No,Very Low,DK,Very High,Medium,High,Medium,Very Low,DK,Medium,Medium,Very Low,DK,Very High,Low,High,DK,Very Low,Not Applicable,Very Low,Not Applicable,Very Low,Not Applicable,Very High,Very High,Low,Low,High,High,Very High,High,Very High,Medium,Very Low,High,Medium,Medium,High,Medium,High,Medium,Very High,Very High,Low,Medium,High,Very High,
1.15022E+11,437952640,Panama,,Latin America and the Caribbean,"Energy Sector (oil, gas, renewables, nuclear, utilities, etc.)","Non-Fossil Fuels (solar, wind, hydro, geothermal, nuclear)",Established Organisation (more than 10 years existence),Top-Level,Male,65+,,Medium,Medium,High,Very High,Low,Medium,Very High,High,Medium,Medium,High,High,Low,Medium,Medium,High,Low,Low,High,Very High,High,High,Medium,Low,Low,Low,Very Low,Very Low,Very High,Very High,Very High,Very High,Low,Low,Medium,Low,Very High,High,Very High,Very High,Low,Low,Low,Low,High,Very High,
1.15008E+11,437952640,Panama,,Latin America and the Caribbean,"Energy Institutions (universities, think tanks, research, associations, NGOs etc.)",,,Senior-Level,Female,35-50,,Very High,Medium,Medium,Low,High,High,Very High,Medium,High,Medium,High,Medium,High,Medium,Low,Low,Medium,Low,High,High,Medium,Medium,Medium,High,High,Medium,Low,Low,Very High,High,Very High,High,Very High,High,Low,Low,Medium,Low,High,High,Low,High,Low,High,High,Medium,Universidad Tecnologica de Panama
1.15022E+11,437952640,United Kingdom,,Europe,"Consumer / End-User Sector (commercial, industrial, residential, etc.)",,Other,Other,Male,50-65,,Low,High,DK,High,High,Very High,Not Applicable,Medium,DK,DK,High,High,Low,DK,Not Applicable,DK,High,High,Very High,DK,Low,DK,Very High,Low,Very High,Low,Very High,Medium,Not Applicable,DK,Low,DK,Medium,DK,DK,DK,Low,Medium,Medium,DK,Very High,Medium,Very High,Low,High,DK,
1.15021E+11,437952640,Nigeria,,Africa,Other (please specify),,,Board or Advisory Role,Male,50-65,,Very High,High,Very High,High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Very High,High,High,Very High,Medium,Very High,Medium,Very High,Medium,Very High,Very High,Very High,Very High,High,Very High,Very High,High,Very High,Very High,Very High,Low,Very High,High,Very High,Very High,Very High,Very High,Very High,Very High,
